officer_id,full_name,role,state,district,designation,password_seed,password_sha256_demo
CG-LAO-2022-0241,LAO Bilaspur,officer,Chhattisgarh,Bilaspur,Land Acquisition Officer / SDM,cg-lao-2022-0241,8452e731f3e611a6e42e0348296cef7a8fc72b50026f030c05cc52723e361114
CG-LAO-2024-0988,LAO Durg,officer,Chhattisgarh,Durg,Land Acquisition Officer / SDM,cg-lao-2024-0988,c64d4ba8bba786c040349b0881c83bbec81d1fc75dd890b8553d4f3cc589d1d7
CG-LAO-2024-0820,LAO Korba,officer,Chhattisgarh,Korba,Land Acquisition Officer / SDM,cg-lao-2024-0820,baf8c40faf02075dc6b94ddf1e686574a2bfc43bd67d3de03b9869fd0ebeba78
CG-LAO-2022-0755,LAO Raipur,officer,Chhattisgarh,Raipur,Land Acquisition Officer / SDM,cg-lao-2022-0755,8f9a16ff7fefcdc9f6a95c512895cdd505bbc5bc0b49cfa8daa4af06c3cb32f4
KA-LAO-2025-0488,LAO Belagavi,officer,Karnataka,Belagavi,Land Acquisition Officer / SDM,ka-lao-2025-0488,69827073a1c57191dc4a43bfffc87560da2c9b5fd433fc0192ec2132da0b600b
KA-LAO-2024-0628,LAO Bengaluru Urban,officer,Karnataka,Bengaluru Urban,Land Acquisition Officer / SDM,ka-lao-2024-0628,7dde2f4b9faf1345ac6a1e30918df8b850f7c02d647171b39b4cd60abe654244
KA-LAO-2021-0461,LAO Mysuru,officer,Karnataka,Mysuru,Land Acquisition Officer / SDM,ka-lao-2021-0461,159ed1067e27ecd6d80b6f34c21cd6f23ba176d9e91134826d6ff1e945c21f53
KA-LAO-2023-0611,LAO Tumakuru,officer,Karnataka,Tumakuru,Land Acquisition Officer / SDM,ka-lao-2023-0611,c858fcbd1d71a70cc4e56c390a61353eafd563b7b7dfac3fe4110196d1140fc4
MP-LAO-2023-0365,LAO Bhopal,officer,Madhya Pradesh,Bhopal,Land Acquisition Officer / SDM,mp-lao-2023-0365,4f8ee0d17307b84c631824088ec96fc7f95ad5b92fb71d5a588addf9614446d7
MP-LAO-2024-0467,LAO Gwalior,officer,Madhya Pradesh,Gwalior,Land Acquisition Officer / SDM,mp-lao-2024-0467,a4c8ee9c59a3cc558651b0abf879437abe07dee985d4ba351c76643afaccff23
MP-LAO-2021-0254,LAO Indore,officer,Madhya Pradesh,Indore,Land Acquisition Officer / SDM,mp-lao-2021-0254,1a12ca1687d00e1c202303018caad76ada98b0b247039084e33970707cca21c0
MP-LAO-2022-0917,LAO Jabalpur,officer,Madhya Pradesh,Jabalpur,Land Acquisition Officer / SDM,mp-lao-2022-0917,d87f463e91938507ec3b6b0d0ffbd776079debbb81e4169a26218572f58f6d5c
MH-LAO-2022-0603,LAO Mumbai Suburban,officer,Maharashtra,Mumbai Suburban,Land Acquisition Officer / SDM,mh-lao-2022-0603,0074f1117ea2cd0e861825f6721829f5a4e6efc71f88dbdb591d1b6121de3a9b
MH-LAO-2025-0718,LAO Nagpur,officer,Maharashtra,Nagpur,Land Acquisition Officer / SDM,mh-lao-2025-0718,5ee55dd6f88053b18dbc07cfe977e9bc36308b761f05a40b26ff5486b4b1279d
MH-LAO-2025-0385,LAO Nashik,officer,Maharashtra,Nashik,Land Acquisition Officer / SDM,mh-lao-2025-0385,943971072146f5335953d0ba9623bd49b7b4e5f86199169e120e6c8bf3f0c2c3
