claim_id,ulpin,claimant_name,relation_to_recorded_owner,blood_relation,proof_status,proof_document,claimed_share_pct,verification_status,claim_filed_on
SC-36-027-018-816317-1,36-027-018-816317,Claimant 1,Grandson,True,Documented,Legal Heir Certificate,31.0,Verified,2020-03-26
SC-36-027-018-816317-2,36-027-018-816317,Claimant 2,Nephew,False,Undocumented,Panchayat attestation,29.6,Pending Verification,2020-03-26
SC-36-027-018-816317-3,36-027-018-816317,Claimant 3,Step-son,True,Documented,Registered Will,23.7,Verified,2020-03-26
SC-36-027-018-816317-4,36-027-018-816317,Claimant 4,Nephew,True,Undocumented,Panchayat attestation,15.7,Pending Verification,2020-03-26
SC-21-005-011-786728-1,21-005-011-786728,Claimant 1,Step-son,True,Contested,Disputed mutation,32.8,Referred to Revenue Court,2020-07-01
SC-21-005-011-786728-2,21-005-011-786728,Claimant 2,Son,True,Undocumented,Panchayat attestation,20.3,Pending Verification,2020-07-01
SC-21-005-011-786728-3,21-005-011-786728,Claimant 3,Widow,True,Documented,Succession Certificate,28.6,Verified,2020-07-01
SC-21-005-011-786728-4,21-005-011-786728,Claimant 4,Nephew,False,Contested,Competing Will produced,18.300000000000004,Referred to Revenue Court,2020-07-01
SC-23-033-010-217866-1,23-033-010-217866,Claimant 1,Step-son,True,Documented,Succession Certificate,79.0,Verified,2023-04-11
SC-36-011-021-962044-1,36-011-021-962044,Claimant 1,Son,True,Undocumented,Oral claim only,41.9,Pending Verification,2020-03-11
SC-36-011-021-962044-2,36-011-021-962044,Claimant 2,Grandson,True,Documented,Registered Will,57.2,Verified,2020-03-11
SC-27-013-021-503316-1,27-013-021-503316,Claimant 1,Brother,True,Contested,Disputed mutation,61.6,Referred to Revenue Court,2022-05-16
SC-27-013-021-503316-2,27-013-021-503316,Claimant 2,Daughter,False,Contested,Competing Will produced,24.5,Referred to Revenue Court,2022-05-16
SC-33-031-006-380149-1,33-031-006-380149,Claimant 1,Son,True,Undocumented,Panchayat attestation,37.1,Pending Verification,2019-09-01
SC-33-031-006-380149-2,33-031-006-380149,Claimant 2,Step-son,True,Documented,Registered Will,32.2,Verified,2019-09-01
SC-33-031-006-380149-3,33-031-006-380149,Claimant 3,Widow,True,Documented,Legal Heir Certificate,30.699999999999996,Verified,2019-09-01
SC-27-025-002-719139-1,27-025-002-719139,Claimant 1,Brother,True,Undocumented,Oral claim only,42.6,Pending Verification,2022-07-25
SC-27-025-002-719139-2,27-025-002-719139,Claimant 2,Widow,False,Contested,Competing Will produced,57.4,Referred to Revenue Court,2022-07-25
SC-23-033-014-835539-1,23-033-014-835539,Claimant 1,Brother,True,Contested,Civil suit pending,37.2,Referred to Revenue Court,2019-03-10
SC-23-033-014-835539-2,23-033-014-835539,Claimant 2,Sister,True,Documented,Mutation Entry (RoR),51.2,Verified,2019-03-10
SC-27-001-024-213539-1,27-001-024-213539,Claimant 1,Grandson,True,Documented,Legal Heir Certificate,63.2,Verified,2019-12-05
SC-27-001-024-213539-2,27-001-024-213539,Claimant 2,Grandson,True,Contested,Civil suit pending,36.6,Referred to Revenue Court,2019-12-05
SC-33-045-015-628192-1,33-045-015-628192,Claimant 1,Step-son,True,Undocumented,"Affidavit, unverified",24.9,Pending Verification,2021-12-18
SC-33-045-015-628192-2,33-045-015-628192,Claimant 2,Nephew,True,Undocumented,Oral claim only,29.6,Pending Verification,2021-12-18
SC-33-045-015-628192-3,33-045-015-628192,Claimant 3,Nephew,True,Contested,Disputed mutation,19.0,Referred to Revenue Court,2021-12-18
SC-33-045-015-628192-4,33-045-015-628192,Claimant 4,Nephew,True,Undocumented,Oral claim only,19.8,Pending Verification,2021-12-18
SC-29-009-002-628978-1,29-009-002-628978,Claimant 1,Grandson,False,Documented,Registered Will,29.1,Verified,2020-09-18
SC-29-009-002-628978-2,29-009-002-628978,Claimant 2,Grandson,True,Undocumented,Panchayat attestation,19.6,Pending Verification,2020-09-18
SC-29-009-002-628978-3,29-009-002-628978,Claimant 3,Brother,False,Undocumented,Oral claim only,33.0,Pending Verification,2020-09-18
SC-29-009-002-628978-4,29-009-002-628978,Claimant 4,Brother,False,Undocumented,Oral claim only,14.4,Pending Verification,2020-09-18
SC-22-009-021-451815-1,22-009-021-451815,Claimant 1,Widow,False,Documented,Legal Heir Certificate,100.0,Verified,2020-04-06
SC-23-028-014-694966-1,23-028-014-694966,Claimant 1,Sister,True,Undocumented,Oral claim only,34.2,Pending Verification,2023-05-21
SC-23-028-014-694966-2,23-028-014-694966,Claimant 2,Widow,False,Documented,Partition Deed,20.1,Verified,2023-05-21
SC-23-028-014-694966-3,23-028-014-694966,Claimant 3,Son,False,Documented,Partition Deed,26.5,Verified,2023-05-21
SC-23-028-014-694966-4,23-028-014-694966,Claimant 4,Widow,True,Documented,Registered Will,19.199999999999996,Verified,2023-05-21
SC-36-003-012-771038-1,36-003-012-771038,Claimant 1,Step-son,True,Undocumented,Panchayat attestation,69.2,Pending Verification,2022-09-14
SC-29-022-024-239792-1,29-022-024-239792,Claimant 1,Brother,True,Undocumented,Panchayat attestation,100.0,Pending Verification,2022-01-01
SC-36-027-010-345877-1,36-027-010-345877,Claimant 1,Widow,True,Documented,Registered Will,32.2,Verified,2022-09-26
SC-36-027-010-345877-2,36-027-010-345877,Claimant 2,Widow,True,Undocumented,"Affidavit, unverified",17.6,Pending Verification,2022-09-26
SC-36-027-010-345877-3,36-027-010-345877,Claimant 3,Step-son,False,Documented,Partition Deed,28.1,Verified,2022-09-26
SC-36-027-010-345877-4,36-027-010-345877,Claimant 4,Nephew,True,Documented,Mutation Entry (RoR),16.2,Verified,2022-09-26
SC-33-014-011-676436-1,33-014-011-676436,Claimant 1,Nephew,True,Undocumented,Panchayat attestation,32.0,Pending Verification,2022-09-13
SC-33-014-011-676436-2,33-014-011-676436,Claimant 2,Widow,False,Documented,Mutation Entry (RoR),68.0,Verified,2022-09-13
SC-09-044-011-783326-1,09-044-011-783326,Claimant 1,Adopted Son,True,Undocumented,"Affidavit, unverified",100.0,Pending Verification,2019-10-17
SC-27-037-023-175762-1,27-037-023-175762,Claimant 1,Nephew,True,Documented,Partition Deed,39.4,Verified,2021-09-25
SC-27-037-023-175762-2,27-037-023-175762,Claimant 2,Adopted Son,True,Undocumented,"Affidavit, unverified",20.5,Pending Verification,2021-09-25
SC-27-037-023-175762-3,27-037-023-175762,Claimant 3,Sister,True,Documented,Succession Certificate,40.1,Verified,2021-09-25
SC-09-002-018-066783-1,09-002-018-066783,Claimant 1,Brother,True,Undocumented,Oral claim only,46.5,Pending Verification,2022-01-30
SC-09-002-018-066783-2,09-002-018-066783,Claimant 2,Daughter,False,Documented,Legal Heir Certificate,33.9,Verified,2022-01-30
SC-09-002-018-066783-3,09-002-018-066783,Claimant 3,Step-son,True,Undocumented,Oral claim only,18.5,Pending Verification,2022-01-30
SC-33-045-018-544333-1,33-045-018-544333,Claimant 1,Widow,False,Documented,Partition Deed,27.9,Verified,2019-09-20
SC-33-045-018-544333-2,33-045-018-544333,Claimant 2,Sister,False,Documented,Registered Will,19.5,Verified,2019-09-20
SC-33-045-018-544333-3,33-045-018-544333,Claimant 3,Daughter,True,Documented,Registered Will,32.0,Verified,2019-09-20
